number,value,datetime_start,datetime_complete,duration,params_activation,params_adam_lr,params_hidden_layers,params_hidden_units,state
0,0.9053123809269559,2025-09-22 09:49:19.204883,2025-09-22 09:52:50.397857,0 days 00:03:31.192974,Sine,0.01,1,50,COMPLETE
1,0.07464445967428557,2025-09-22 09:52:50.398323,2025-09-22 09:57:51.976132,0 days 00:05:01.577809,Sine,0.1,3,75,COMPLETE
2,0.5678138938858714,2025-09-22 09:57:51.976603,2025-09-22 10:02:01.648316,0 days 00:04:09.671713,Sigmoid,0.01,2,25,COMPLETE
3,0.07435076646430365,2025-09-22 10:02:01.648918,2025-09-22 10:06:44.074539,0 days 00:04:42.425621,Tanh,0.001,3,50,COMPLETE
4,0.08636940726629558,2025-09-22 10:06:44.074828,2025-09-22 10:11:00.334445,0 days 00:04:16.259617,Sine,0.001,2,50,COMPLETE
5,0.0752523401527398,2025-09-22 10:11:00.334747,2025-09-22 10:15:47.146287,0 days 00:04:46.811540,Tanh,0.001,3,50,COMPLETE
6,0.07485513261924236,2025-09-22 10:15:47.146623,2025-09-22 10:20:02.543495,0 days 00:04:15.396872,Tanh,0.01,2,75,COMPLETE
7,0.17375639428830247,2025-09-22 10:20:02.543831,2025-09-22 10:24:21.758433,0 days 00:04:19.214602,Sigmoid,0.001,2,75,COMPLETE
8,0.07305468414835259,2025-09-22 10:24:21.759073,2025-09-22 10:29:23.903059,0 days 00:05:02.143986,Sine,0.1,3,75,COMPLETE
9,0.20194011847108984,2025-09-22 10:29:23.903474,2025-09-22 10:33:36.564987,0 days 00:04:12.661513,Sigmoid,0.001,2,50,COMPLETE
10,0.8854544850910774,2025-09-22 10:33:36.565341,2025-09-22 10:35:11.197581,0 days 00:01:34.632240,Sine,0.1,1,25,COMPLETE
11,0.6539530367074884,2025-09-22 10:35:11.197917,2025-09-22 10:40:02.344248,0 days 00:04:51.146331,Tanh,0.1,3,75,COMPLETE
12,0.9971287125104566,2025-09-22 10:40:02.344582,2025-09-22 10:44:51.229727,0 days 00:04:48.885145,Tanh,0.1,3,75,COMPLETE
13,0.07469616025314364,2025-09-22 10:44:51.230722,2025-09-22 10:49:43.530348,0 days 00:04:52.299626,Sine,0.001,3,50,COMPLETE
14,1.0000008569967944,2025-09-22 10:49:43.530629,2025-09-22 10:50:15.640860,0 days 00:00:32.110231,Tanh,0.1,3,25,COMPLETE
15,0.07424851267734409,2025-09-22 10:50:15.641243,2025-09-22 10:55:07.297177,0 days 00:04:51.655934,Sine,0.001,3,50,COMPLETE
16,0.07481487120432703,2025-09-22 10:55:07.297733,2025-09-22 11:00:08.334487,0 days 00:05:01.036754,Sine,0.1,3,75,COMPLETE
17,0.7580316431716266,2025-09-22 11:00:08.334788,2025-09-22 11:03:42.848390,0 days 00:03:34.513602,Sine,0.1,1,75,COMPLETE
18,0.07471701727939764,2025-09-22 11:03:42.848815,2025-09-22 11:08:32.306639,0 days 00:04:49.457824,Sine,0.001,3,50,COMPLETE
19,0.07348570599748755,2025-09-22 11:08:32.307222,2025-09-22 11:13:18.910846,0 days 00:04:46.603624,Sine,0.01,3,25,COMPLETE
20,0.9258220933057546,2025-09-22 11:13:18.911209,2025-09-22 11:15:36.886766,0 days 00:02:17.975557,Sine,0.01,1,25,COMPLETE
21,0.07432124323429787,2025-09-22 11:15:36.887333,2025-09-22 11:20:20.960444,0 days 00:04:44.073111,Sine,0.01,3,25,COMPLETE
22,0.07378948153175374,2025-09-22 11:20:20.961068,2025-09-22 11:25:04.796748,0 days 00:04:43.835680,Sine,0.01,3,25,COMPLETE
23,0.0743020959168275,2025-09-22 11:25:04.797272,2025-09-22 11:29:50.224069,0 days 00:04:45.426797,Sine,0.01,3,25,COMPLETE
24,0.07398191912350913,2025-09-22 11:29:50.224445,2025-09-22 11:34:31.149394,0 days 00:04:40.924949,Sine,0.01,3,25,COMPLETE
25,0.18131349802225433,2025-09-22 11:34:31.150365,2025-09-22 11:39:11.287437,0 days 00:04:40.137072,Sigmoid,0.01,3,25,COMPLETE
26,0.07374423665752984,2025-09-22 11:39:11.288118,2025-09-22 11:43:57.984385,0 days 00:04:46.696267,Sine,0.01,3,25,COMPLETE
27,0.07424996406232134,2025-09-22 11:43:57.984746,2025-09-22 11:48:46.396236,0 days 00:04:48.411490,Sine,0.01,3,25,COMPLETE
