number,value,datetime_start,datetime_complete,duration,params_activation,params_adam_lr,params_hidden_layers,params_hidden_units,state
43,0.07326329409009996,2025-09-22 12:52:53.306751,2025-09-22 12:57:37.826895,0 days 00:04:44.520144,Sine,0.01,3,25,COMPLETE
19,0.07348570599748755,2025-09-22 11:08:32.307222,2025-09-22 11:13:18.910846,0 days 00:04:46.603624,Sine,0.01,3,25,COMPLETE
42,0.07349595218039703,2025-09-22 12:48:10.423553,2025-09-22 12:52:53.306167,0 days 00:04:42.882614,Sine,0.01,3,25,COMPLETE
44,0.073606575614485,2025-09-22 12:57:37.827173,2025-09-22 13:02:22.643620,0 days 00:04:44.816447,Sine,0.01,3,25,COMPLETE
48,0.0736835172225059,2025-09-22 13:16:07.655776,2025-09-22 13:20:52.661102,0 days 00:04:45.005326,Sine,0.001,3,25,COMPLETE
41,0.073688271464687,2025-09-22 12:43:27.181535,2025-09-22 12:48:10.423175,0 days 00:04:43.241640,Sine,0.01,3,25,COMPLETE
31,0.07370721110320541,2025-09-22 11:58:56.101108,2025-09-22 12:03:41.809531,0 days 00:04:45.708423,Sine,0.01,3,25,COMPLETE
26,0.07374423665752984,2025-09-22 11:39:11.288118,2025-09-22 11:43:57.984385,0 days 00:04:46.696267,Sine,0.01,3,25,COMPLETE
22,0.07378948153175374,2025-09-22 11:20:20.961068,2025-09-22 11:25:04.796748,0 days 00:04:43.835680,Sine,0.01,3,25,COMPLETE
24,0.07398191912350913,2025-09-22 11:29:50.224445,2025-09-22 11:34:31.149394,0 days 00:04:40.924949,Sine,0.01,3,25,COMPLETE
27,0.07424996406232134,2025-09-22 11:43:57.984746,2025-09-22 11:48:46.396236,0 days 00:04:48.411490,Sine,0.01,3,25,COMPLETE
32,0.07428030585491319,2025-09-22 12:03:41.810079,2025-09-22 12:08:31.884509,0 days 00:04:50.074430,Sine,0.01,3,25,COMPLETE
23,0.0743020959168275,2025-09-22 11:25:04.797272,2025-09-22 11:29:50.224069,0 days 00:04:45.426797,Sine,0.01,3,25,COMPLETE
21,0.07432124323429787,2025-09-22 11:15:36.887333,2025-09-22 11:20:20.960444,0 days 00:04:44.073111,Sine,0.01,3,25,COMPLETE
33,0.07433012177622925,2025-09-22 12:08:31.885258,2025-09-22 12:13:16.789297,0 days 00:04:44.904039,Sine,0.01,3,25,COMPLETE
34,0.07438649847770312,2025-09-22 12:13:16.789747,2025-09-22 12:18:02.620877,0 days 00:04:45.831130,Sine,0.01,3,25,COMPLETE
35,0.07502948522391592,2025-09-22 12:18:02.621380,2025-09-22 12:22:47.465464,0 days 00:04:44.844084,Sine,0.01,3,25,COMPLETE
25,0.18131349802225433,2025-09-22 11:34:31.150365,2025-09-22 11:39:11.287437,0 days 00:04:40.137072,Sigmoid,0.01,3,25,COMPLETE
14,1.0000008569967944,2025-09-22 10:49:43.530629,2025-09-22 10:50:15.640860,0 days 00:00:32.110231,Tanh,0.1,3,25,COMPLETE
